t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1754434305,2805,75.096678,30.703895,6.438785,2.163517,events/second
1754434315,6375,134.634089,81.292052,18.039271,6.120733,events/second
1754434325,9284,161.881379,119.813600,28.349285,9.727920,events/second
1754434335,11081,164.527138,128.686778,33.239764,11.581819,events/second
1754434345,14598,188.724641,156.522035,42.231767,14.847256,events/second
1754434355,17710,202.746062,186.950538,52.502112,18.612831,events/second
1754434459,2387,54.024691,20.844503,4.491381,1.639763,events/second
1754434469,4036,74.489462,48.336799,10.947633,3.850075,events/second
1754434479,6988,108.880575,75.288772,17.873965,6.259883,events/second
1754434489,10623,143.201654,117.594361,28.786365,10.065932,events/second
1754434499,14326,170.182309,157.356460,40.189053,14.115991,events/second
1754434509,18056,191.713707,189.274470,50.844616,17.995382,events/second
1754434636,3827,81.474080,46.915272,12.166754,6.077046,events/second
1754434646,8561,150.269580,111.699558,27.140333,11.191062,events/second
1754434656,13695,204.491567,172.097506,42.796765,16.643426,events/second
1754434666,18874,245.209465,225.059164,58.354033,22.176358,events/second
1754434676,24111,277.230580,271.435632,73.724304,27.756629,events/second
1754434686,29441,303.606443,311.669184,88.787136,33.340781,events/second
1754434696,34821,325.512532,344.919554,103.187940,38.806763,events/second
1754434706,37559,321.096735,343.134772,110.823651,42.096888,events/second
1754434716,41332,325.523275,341.285625,117.956625,45.255266,events/second
1754434726,46809,341.743765,372.089281,131.831155,50.733672,events/second
1754434736,52472,357.023035,401.407740,145.961169,56.391201,events/second
1754434746,56687,360.952325,412.386589,156.753809,61.023173,events/second
1754434756,59040,353.431065,386.765844,159.673719,63.065692,events/second
1754434766,61395,346.770084,364.052905,162.257405,65.003375,events/second
1754434776,63886,341.689434,344.954710,164.772343,66.924386,events/second
1754434786,66385,336.897455,330.126683,167.513765,68.929596,events/second
1754434796,68876,332.781057,318.327926,170.331227,70.968858,events/second
1754434806,72688,335.012634,321.120548,175.684606,73.865763,events/second
1754434816,77597,341.880748,347.329356,186.048374,78.483804,events/second
1754434826,80505,339.725176,343.943798,190.668499,81.232666,events/second
1754434836,83302,337.294750,334.518697,193.671553,83.453534,events/second
1754434846,86229,335.559339,328.433307,196.990080,85.789920,events/second
1754434856,89173,334.017637,323.033282,200.139353,88.079701,events/second
1754434866,93256,336.699509,328.480354,205.249837,91.035782,events/second
1754434876,98635,343.710572,361.282625,216.317032,96.029185,events/second
1754434886,101185,340.634701,352.905956,219.340570,98.380747,events/second
1754434896,104919,341.787919,347.399231,222.466414,100.766525,events/second
1754434906,110182,347.609026,376.191706,232.712155,105.564599,events/second
1754434916,115762,354.043674,402.094674,242.936536,110.414974,events/second
1754434926,119682,355.088667,409.263170,249.772011,114.188021,events/second
1754434936,122243,352.314726,385.670508,249.962966,115.750556,events/second
1754434946,124713,349.364521,364.440270,249.881428,117.206247,events/second
